#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A963CD
#Date Time: 2022-02-24 14:41:31.894
#Sample rate: 363636Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 200 Hz
#Period: 5 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ?

Time (s),Channel 1 (V),Channel 2 (V)
-0.021626624698633808,-1.002017509379543,-0.992625124561461
-0.021623874698633805,-1.0023522186190041,-0.9973533730640564
-0.021621124698633806,-1.002352218619004,-1.00106842545895
-0.021618374698633806,-1.0020175093795431,-1.005121209889741
-0.021615624698633807,-1.0016828001400826,-1.0095117263564313
-0.021612874698633808,-1.0013480909006216,-1.012889046715426
-0.021610124698633805,-1.0016828001400824,-1.016266367074423
-0.021607374698633806,-1.0016828001400824,-1.0196436874334156
-0.021604624698633806,-1.0016828001400824,-1.0223455437206108
-0.021601874698633804,-1.002352218619004,-1.024371935936009
-0.021599124698633808,-1.0020175093795434,-1.0263983281514029
-0.021596374698633805,-1.0016828001400824,-1.027749256295002
-0.021593624698633806,-1.0016828001400824,-1.029100184438599
-0.021590874698633807,-1.0016828001400824,-1.0297756485103977
-0.021588124698633804,-1.002017509379543,-1.0304511125821958
-0.021585374698633808,-1.0016828001400826,-1.029775648510398
-0.021582624698633805,-1.002017509379543,-1.0294379164744976
-0.021579874698633806,-1.0016828001400824,-1.0277492562950012
-0.021577124698633807,-1.0020175093795431,-1.026736060187303
-0.021574374698633804,-1.002352218619004,-1.0250474000078038
-0.021571624698633808,-1.0020175093795434,-1.0226832757565114
-0.021568874698633805,-1.002017509379543,-1.0206568835411125
-0.021566124698633806,-1.0016828001400824,-1.0179550272539184
